,time-frame,thermocline,Density-depend mortality,trophic levels (main+decomposer),explicit players
this project,continuous,no,phy,1+1,yes
Evans and Parslow,spring,yes,no,1+0,yes
Frost,continuous,yes,no,2+0,no
Fasham et al,continuous,yes,no,2+1,yes
Robinson et al,yearly,yes,u,3+0,no equations
Fasham,//,//,//,//,\autocite{fasham1990nitrogen}
Matear,continuous,yes,no,2+0,yes
Hurtt and Armstrong,continuous,yes,no,1+0,\autocite{fasham1990nitrogen}
Xiao et al,continuous,no,no,1+1,yes
Popoca et al,continuous,yes,no,2+0,yes
Anderson and Williams,continuous,yes,no,2+1,no
Spitz et al,continuous,yes,no,2+1,yes
Fennel et al,continuous,yes,no,2+0,yes
Natvik et al,//,//,//,//,not a maths model
Schartau et al,continuous,yes,no,2+0,no
Spitz et al,continuous,yes,no,2+1,\autocite{spitz1998data}
Ito and Oikawa,no,no,no,1+0,yes
Hemmings et al,//,//,//,//,statistical model
Onitsuka and Yanagi,continuous,yes,no,2+0,yes
Findlay et al,continuous,yes,no,1+0,no
Mitra et al,short,no,no,2+1,no
Mitra,continuous,no,no,2+1,yes
Llebot et al,continuous,no,no,2+0,yes
Kidston et al,continuous,yes,phy,2+0,yes
Anderson et al,continuous,yes,phy,2+1,yes
