phylum,name,commonRole,optimalCondition,url
Firmicutes,Streptococcus salivarius,animal microbiome,anaerobic,
Firmicutes,Lactococcus lactis,animal microbiome,anaerobic,
Firmicutes,Lactobacillus delbrueckii,animal microbiome,anaerobic,
Firmicutes,Lactobacillus acidophilus,animal microbiome,anaerobic,
Firmicutes,Lactobacillus paracasei,animal microbiome,anaerobic,https://lpsn.dsmz.de/species/lactobacillus-paracasei
Firmicutes,Sulfobacillus thermotolerans,High-Fe environment,aerobic,https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=Retrieve&list_uids=19137712&dopt=abstractplus
Firmicutes,Bacillus infernus,NA,NA,
Proteobacteria,Colwellia demingiae,NA,NA,
Proteobacteria,Colwellia hornerae,NA,NA,
Proteobacteria,Colwellia psychrerythraea,NA,NA,
Proteobacteria,Colwellia psychrotropica,NA,NA,
Bacteroidetes,Psychroflexus torquis,NA,NA,
Proteobacteria,Thermothrix thiopara,NA,NA,
Actinobacteria,Rubrobacter xylanophilus,NA,NA,
Actinobacteria,Rubrobacter radiotolerans,NA,NA,
Firmicutes,Halanaerobium lacusrosei,NA,NA,
Proteobacteria,Pseudoxanthomonas broegbernensis,NA,NA,
Proteobacteria,Pseudoxanthomonas taiwanensis,NA,NA,
Firmicutes,Bacillus cereus,NA,NA,
Firmicutes,Caloramator indicus,NA,NA,
Firmicutes,Enterococcus faecalis,NA,NA,
Firmicutes,Alicyclobacillus acidocaldarius,NA,NA,
Firmicutes,Thermobrachium celere,NA,NA,
Proteobacteria,Acidibacter ferrireducens,NA,NA,
Firmicutes,Caldanaerobacter subterraneus,NA,NA,
Planctomycetes,Isosphaera pallida,NA,NA,
Proteobacteria,Acidithiobacillus caldus,NA,NA,
Proteobacteria,Acidithiobacillus ferrivorans,NA,NA,
Firmicutes,Thermacetogenium phaeum,NA,NA,
Firmicutes,Pelotomaculum thermopropionicum,NA,NA,
Proteobacteria,Acidicaldus organivorans,NA,NA,
Firmicutes,Sulfobacillus benefaciens,NA,NA,
Proteobacteria,Acidocella aromatica,NA,NA,
Firmicutes,Heliobacillus mobilis,NA,NA,
Firmicutes,Heliobacterium modesticaldum,NA,NA,
Firmicutes,Geobacillus caldotenax,NA,NA,
Firmicutes,Thermoanaerobacter mathranii,NA,NA,
Firmicutes,Thermoanaerobacter kivui,NA,NA,
Firmicutes,Peptoclostridium thermoalcaliphilum,NA,NA,
Firmicutes,Desulfotomaculum putei,NA,NA,
Firmicutes,Peptoclostridium paradoxum,NA,NA,
Proteobacteria,Bosea eneae,NA,NA,
Firmicutes,Geobacillus caldoxylosilyticus,NA,NA,
Firmicutes,Geobacillus thermoleovorans,NA,NA,
Cyanobacteria,Synechococcus lividus,NA,NA,
Firmicutes,Sulfobacillus sibiricus,NA,NA,
Firmicutes,Aeribacillus pallidus,NA,NA,
Firmicutes,Bacillus megaterium,NA,NA,
Firmicutes,Bacillus subtilis,NA,NA,
Proteobacteria,Escherichia coli,NA,NA,
Proteobacteria,Pseudomonas aeruginosa,NA,NA,
Proteobacteria,Pseudomonas fluorescens,NA,NA,
Proteobacteria,Serratia marcescens,NA,NA,
Proteobacteria,Moritella marina,NA,NA,
Proteobacteria,Vibrio  psychroerythrus,NA,NA,
Proteobacteria,Halomonas campisalis,NA,NA,
Cyanobacteria,Mastigocladus laminosus,NA,NA,
Firmicutes,Planococcus halocryophilus,NA,NA,
Proteobacteria,Hydrogenophaga pseudoflava,NA,NA,
Bacteroidetes,Gelidibacter gilvus,NA,NA,
Proteobacteria,Glaciecola punicea,NA,NA,
Proteobacteria,Shewanella gelidimarina,NA,NA,
Firmicutes,Listeria monocytogenes,NA,NA,
Proteobacteria,Pseudoalteromonas haloplanktis,NA,NA,
Firmicutes,Desulfotomaculum alkaliphilum,NA,NA,
Firmicutes,Trichococcus patagoniensis,NA,NA,
Firmicutes,Symbiobacterium toebii,NA,NA,
Firmicutes,Thermoanaerobacter keratinophilus,NA,NA,
Bacteroidetes,Rhodothermus  obamensis,NA,NA,
Firmicutes,Thermoanaerobacterium thermosulfurigenes,NA,NA,
