,year,land/aqua,organisms,model type,location,element-base,unit-based,time-frame,thermocline,density-dep mortality,trophic levels (main+decomposer),explicit players,light intensity,setting,respiration term,resource allocation term
,this project,aqua,CPB,mxLayer,theoretical,C,density,continuous,no,phy,1+1,yes,no,fluctuation,yes,yes
Evans and Parslow,1985,aqua,NPZ,mxLayer,subarctic Pac,na,population,spring,yes,no,1+0,yes,yes,steady,no,no
Frost,1987,aqua,NP(Z),mxLayer,subarctic Pac,na,population,continuous,yes,no,2+0,no,yes,steady,no,no
Fasham et al,1990,aqua,2NPZDB(DOM),homogenous,Sargasso sea,N,molConc,continuous,yes,no,2+1,yes,no,steady,no,no
Robinson et al,1993,aqua,P2Z,mxLayer,upwell Pac,C,density,yearly,yes,u,3+0,no equations,yes,fluctuation,no,no
Fasham,1995,aqua,2NPZDB(DOM),//,subarctic Pac,//,//,//,//,//,//,1990,//,//,no,no
Matear,1995,aqua,2NP2ZDB(DOM),mxLayer,subarctic Pac,na,population,continuous,yes,no,2+0,yes,yes,fluctuation,no,no
Hurtt and Armstrong,1996,aqua,2NPR,mxLayer,Sargasso sea,N,molConc,continuous,yes,no,1+0,1990,no,steady,no,no
Xiao et al,1996,land,CNP,dual cycles,theoretical,"C,N",density,continuous,no,no,1+1,yes,yes,steady,yes,yes
Popoca et al,1997,aqua,NPZD,mxLayer,theoretical,N,molConc,continuous,yes,no,2+0,yes,yes,fluctuation,no,no
Anderson and Williams,1998,aqua,2NPZDB(DOM),slab,English Channel,N,molConc,continuous,yes,no,2+1,no,yes,fluctuation,no,no
Spitz et al,1998,aqua,2NPZDB(DOM),mxLayer,Sargasso sea,N,molConc,continuous,yes,no,2+1,yes,yes,fluctuation,no,no
Fennel et al,2001,aqua,NPZD,mxLayer,Sargasso sea,N,molConc,continuous,yes,no,2+0,yes,yes,fluctuation,no,no
Natvik et al,2001,aqua,NPZ,//,Flemish Cap,//,//,//,//,//,//,not a model,//,//,no,no
Schartau et al,2001,aqua,NPZ,mxLayer,Sargasso sea,N,molConc,continuous,yes,no,2+0,no,yes,fluctuation,no,no
Spitz et al,2001,aqua,2NPZDB(DOM),mxLayer,Sargasso sea,N,molConc,continuous,yes,no,2+1,1998,no,fluctuation,no,no
Ito and Oikawa,2002,land,CP,homogenous,theoretical,C,density,no,no,no,1+0,yes,no,steady,no,no
Hemmings et al,2004,aqua,NPZ,//,N Atlantic,//,//,//,//,//,//,stat,//,//,no,no
Onitsuka and Yanagi,2005,aqua,"NPZD, 2N2P3Z(DOM)",slab,Japan sea,N,molConc,continuous,yes,no,2+0,yes,no,fluctuation,no,no
Findlay et al,2006,aqua,NP,mxLayer,theoretical,hypothetical,molConc,continuous,yes,no,1+0,no,no,fluctuation,no,no
Mitra et al,2007,aqua,2NPZDB(DOM),homogenous,N Atlantic,N,molConc,short,no,no,2+1,no,no,perturbation,no,no
Mitra,2009,aqua,2NPZDB(DOM),homogenous,N Atlantic,N,molConc,continuous,no,no,2+1,yes,no,cannibalism,no,no
Llebot et al,2010,aqua,2N2PD(DOM),homogenous,Mediterranean Bay,N,molConc,continuous,no,no,2+0,yes,yes,steady,no,no
Kidston et al,2013,aqua,NPZD,mxLayer,Southern Ocean,N,molConc,continuous,yes,phy,2+0,yes,yes,steady,no,no
Anderson et al,2015,aqua,NPZD,mxLayer,theoretical,N,molConc,continuous,yes,phy,2+1,yes,yes,fluctuation,no,no
