,land/aqua,organisms,model type,location,element-base,unit-based
this project,aqua,CPB,mxLayer,theoretical,C,density
\autocite{evans1985model},aqua,NPZ,mxLayer,subarctic Pac,na,population
\autocite{frost1987grazing},aqua,NP(Z),mxLayer,subarctic Pac,na,population
\autocite{fasham1990nitrogen},aqua,2NPZDB(DOM),homogenous,Sargasso sea,N,molConc
\autocite{robinson1993simulated},aqua,P2Z,mxLayer,upwell Pac,C,density
\autocite{fasham1995use},aqua,2NPZDB(DOM),//,subarctic Pac,//,//
\autocite{matear1995parameter},aqua,2NP2ZDB(DOM),mxLayer,subarctic Pac,na,population
\autocite{hurtt1996pelagic},aqua,2NPR,mxLayer,Sargasso sea,N,molConc
\autocite{mcguire1997equilibrium},land,CNP,dual cycles,theoretical,"C,N",density
\autocite{popova1997chaotic},aqua,NPZD,mxLayer,theoretical,N,molConc
\autocite{anderson1998modelling},aqua,2NPZDB(DOM),slab,English Channel,N,molConc
\autocite{spitz1998data},aqua,2NPZDB(DOM),mxLayer,Sargasso sea,N,molConc
\autocite{fennel2001testing},aqua,NPZD,mxLayer,Sargasso sea,N,molConc
\autocite{natvik2001weak},aqua,NPZ,//,Flemish Cap,//,//
\autocite{schartau2001parameter},aqua,NPZ,mxLayer,Sargasso sea,N,molConc
\autocite{spitz2001configuring},aqua,2NPZDB(DOM),mxLayer,Sargasso sea,N,molConc
\autocite{ito2002simulation},land,CP,homogenous,theoretical,C,density
\autocite{hemmings2004split},aqua,NPZ,//,N Atlantic,//,//
\autocite{onitsuka2005differences},aqua,"NPZD, 2N2P3Z(DOM)",slab,Japan sea,N,molConc
\autocite{findlay2006modelling},aqua,NP,mxLayer,theoretical,hypothetical,molConc
\autocite{mitra2007accounting},aqua,2NPZDB(DOM),homogenous,N Atlantic,N,molConc
\autocite{mitra2009closure},aqua,2NPZDB(DOM),homogenous,N Atlantic,N,molConc
\autocite{llebot2010role},aqua,2N2PD(DOM),homogenous,Mediterranean Bay,N,molConc
\autocite{kidston2013phytoplankton},aqua,NPZD,mxLayer,Southern Ocean,N,molConc
\autocite{anderson2015empower},aqua,NPZD,mxLayer,theoretical,N,molConc
