species,temperature.C,unit,intercept,slope
Leptocylindrus danicus,5,day-1,0.03,0.15
Leptocylindrus danicus,15,day-1,0.03,0.15
Leptocylindrus danicus,20,day-1,0.07,0.21
Phaeodactylum tricornutum,25,day-1,0.23,0.23
Phaeodactylum tricornutum,23,day-1,0.3,0.1
Phaeodactylum tricornutum,23,day-1,0.16,0.13
Skeletonena costatum,15,day-1,0.01,0.18
Skeletonena costatum,15,day-1,0.09,0.18
Skeletonena costatum,6,day-1,0.03,0.42
Skeletonena costatum,16,day-1,0.11,0.32
Skeletonena costatum,24,day-1,0.4,0.15
Thalassiosira allenii,20,day-1,0.04,0.18
Thalassiosira allenii,20,day-1,0,0.42
Thalassiosira weisflogii,18,day-1,0.03,0.45
Thalassiosira weisflogii,20,day-1,0.09,0.2
Thalassiosira weisflogii,20,day-1,0.02,0.26
Thalassiosira weisflogii,20,day-1,0.02,0.15
Thalassiosira weisflogii,20,day-1,0.01,0.18
Isochrysis galbana,18,day-1,0.14,0.06
Monochrysis lutheri,20,day-1,0.06,0.25
Monochrysis lutheri,20,day-1,0.09,0.45
Olithodiscus luteus,15,day-1,0.09,0.18
Chlamydomonas remhaudtii,20,day-1,0.01,0.72
Chlorella pyrenoidosa,26,day-1,0.08,0.1
Chlorella pyrenoidosa,25,day-1,0.04,0.35
Dunaliella tertiolecta,15,day-1,0.18,0.54
Dunaliella tertiolecta,20,day-1,0.02,0.72
Nannochloris atomus,23,day-1,0.14,0.1
Scenedesmus momitum,20,day-1,0.2,0.16
Oscillatoria redekei,15,day-1,0.18,0.1
Oscillatoria redekei,15,day-1,0.13,0.1
Gonyaulax lamarensis,15,day-1,0.3,0.4
Pyorocentrum micans,18,day-1,0.04,1
