,light intensity,setting,respiration,resource allocation,cite
this project,no,fluctuation,yes,yes,
Evans and Parslow,yes,steady,no,no,\autocite{evans1985model}
Frost,yes,steady,no,no,\autocite{frost1987grazing}
Fasham et al,no,steady,no,no,\autocite{fasham1990nitrogen}
Robinson et al,yes,fluctuation,no,no,\autocite{robinson1993simulated}
Fasham,//,//,no,no,\autocite{fasham1995use}
Matear,yes,fluctuation,no,no,\autocite{matear1995parameter}
Hurtt and Armstrong,no,steady,no,no,\autocite{hurtt1996pelagic}
Xiao et al,yes,steady,yes,yes,\autocite{xiao1996relative}
Popoca et al,yes,fluctuation,no,no,\autocite{popova1997chaotic}
Anderson and Williams,yes,fluctuation,no,no,\autocite{anderson1998modelling}
Spitz et al,yes,fluctuation,no,no,\autocite{spitz1998data}
Fennel et al,yes,fluctuation,no,no,\autocite{fennel2001testing}
Natvik et al,//,//,no,no,\autocite{natvik2001weak}
Schartau et al,yes,fluctuation,no,no,\autocite{schartau2001parameter}
Spitz et al,no,fluctuation,no,no,\autocite{spitz2001configuring}
Ito and Oikawa,no,steady,no,no,\autocite{ito2002simulation}
Hemmings et al,//,//,no,no,\autocite{hemmings2004split}
Onitsuka and Yanagi,no,fluctuation,no,no,\autocite{onitsuka2005differences}
Findlay et al,no,fluctuation,no,no,\autocite{findlay2006modelling}
Mitra et al,no,perturbation,no,no,\autocite{mitra2007accounting}
Mitra,no,cannibalism,no,no,\autocite{mitra2009closure}
Llebot et al,yes,steady,no,no,\autocite{llebot2010role}
Kidston et al,yes,steady,no,no,\autocite{kidston2013phytoplankton}
Anderson et al,yes,fluctuation,no,no,\autocite{anderson2015empower}
