x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.0,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.0,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,14.08,17.28
0.0,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,7.105,8.93
0.0,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,4.754,6.105
0.0,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.4058,0.7104,3.57,4.688
0.0,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.4058,0.569,2.86,3.834
0.0,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.4058,0.4744,2.385,3.266
0.0,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.4058,0.4067,2.045,2.857
0.0,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.4058,0.356,1.79,2.553
0.0,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4058,0.3167,1.592,2.314
0.0,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.4058,0.285,1.433,2.123
0.05,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.05,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,13.89,17.1
0.05,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,6.92,8.74
0.05,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,4.57,5.918
0.05,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.4058,0.7104,3.387,4.504
0.05,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.4058,0.569,2.674,3.648
0.05,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.4058,0.4744,2.2,3.08
0.05,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.4058,0.4067,1.86,2.672
0.05,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.4058,0.356,1.605,2.367
0.05,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4058,0.3167,1.406,2.129
0.05,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.4058,0.285,1.248,1.938
0.1,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.4058,2.799,13.89,17.1
0.1,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,13.7,16.9
0.1,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,6.74,8.555
0.1,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,4.383,5.734
0.1,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.4058,0.7104,3.201,4.316
0.1,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.4058,0.569,2.49,3.465
0.1,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.4058,0.4744,2.014,2.895
0.1,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.4058,0.4067,1.675,2.488
0.1,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.4058,0.356,1.42,2.182
0.1,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4058,0.3167,1.222,1.943
0.1,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.4058,0.285,1.0625,1.753
0.15,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.4058,142.8,717.0,860.0
0.15,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,13.52,16.72
0.15,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,6.55,8.375
0.15,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,4.2,5.55
